dimensions,n_parties,threshold,patronage,polarization,avg_mttf,avg_gallagher,std_mttf
2,5,0.0,0.0,Uniform,3.9344928273811575,9.255952865645721E-4,0.6326346128917677
2,5,0.0,0.0,Symmetric,3.8308733550709206,8.413489832712316E-4,0.8464695851643191
2,5,0.0,0.0,Asymmetric,5.0,0.0010184160191147682,0.0
2,5,0.0,0.3,Uniform,3.9948749792391713,8.376088069455498E-4,0.9840154008688187
2,5,0.0,0.3,Symmetric,3.990871201457717,8.776485687530242E-4,0.9161278648146445
2,5,0.0,0.3,Asymmetric,5.0,8.861326806092872E-4,0.0
2,5,0.0,0.6,Uniform,4.9317149915633305,5.870667305477984E-4,0.302353075439826
2,5,0.0,0.6,Symmetric,4.824438588659166,5.150875286989673E-4,0.3884367913067011
2,5,0.0,0.6,Asymmetric,5.0,6.749025600727362E-4,0.0
2,5,0.0,0.9,Uniform,5.0,1.024264068711903E-4,0.0
2,5,0.0,0.9,Symmetric,4.985355720763423,1.938560218827468E-4,0.07886185717066242
2,5,0.0,0.9,Asymmetric,5.0,1.7023689270622157E-4,0.0
2,5,0.05,0.0,Uniform,4.001858922202055,0.0031496585031601156,0.6266388761525331
2,5,0.05,0.0,Symmetric,4.3148683108886,0.018875012070490263,0.8551466956026655
2,5,0.05,0.0,Asymmetric,5.0,0.05718354824334111,0.0
2,5,0.05,0.3,Uniform,4.346335529312998,0.012581768697720232,0.738287140516301
2,5,0.05,0.3,Symmetric,4.288657271778974,0.010270907815415672,0.8986551925306927
2,5,0.05,0.3,Asymmetric,5.0,0.041665913394427996,0.0
2,5,0.05,0.6,Uniform,4.856851411694579,0.005441230329748874,0.5361324859682339
2,5,0.05,0.6,Symmetric,4.774497213743347,0.0019697442641027274,0.6190465509271853
2,5,0.05,0.6,Asymmetric,5.0,0.01618788789361828,0.0
2,5,0.05,0.9,Uniform,5.0,0.003103213442727263,0.0
2,5,0.05,0.9,Symmetric,4.865035081340894,0.0012082842712474605,0.5373288834721752
2,5,0.05,0.9,Asymmetric,5.0,0.007482505492746824,0.0
2,5,0.1,0.0,Uniform,4.211613659516589,0.03909341431672522,0.6911657045799595
2,5,0.1,0.0,Symmetric,4.258468046819578,0.03716012894520639,1.0212002665660134
2,5,0.1,0.0,Asymmetric,5.0,0.11271818903123935,0.0
2,5,0.1,0.3,Uniform,4.128524443475165,0.047963805380093795,0.9001179803376061
2,5,0.1,0.3,Symmetric,4.516193462204011,0.023987899707554678,0.7822194414993549
2,5,0.1,0.3,Asymmetric,4.995870939653051,0.08437327842967231,0.02223567046692121
2,5,0.1,0.6,Uniform,4.815352557554517,0.02085061071052217,0.45243298630831613
2,5,0.1,0.6,Symmetric,4.957278538310122,0.018627379733922866,0.18558263234479125
2,5,0.1,0.6,Asymmetric,5.0,0.042909706406650164,0.0
2,5,0.1,0.9,Uniform,5.0,0.0018113807118745769,0.0
2,5,0.1,0.9,Symmetric,4.9866455791239,2.3990187582825925E-4,0.0719157573216368
2,5,0.1,0.9,Asymmetric,5.0,0.003212763301199159,0.0
2,8,0.0,0.0,Uniform,3.94068097062244,0.001109833325665517,0.5120826039331876
2,8,0.0,0.0,Symmetric,3.332719894263355,0.0011434498532446886,0.7190433331028239
2,8,0.0,0.0,Asymmetric,5.0,0.0013591606236259034,0.0
2,8,0.0,0.3,Uniform,3.94746866372267,9.670541550703364E-4,0.696470347719144
2,8,0.0,0.3,Symmetric,3.5084544962228312,9.742207500719991E-4,1.1204077140071618
2,8,0.0,0.3,Asymmetric,4.940839804503719,0.0012224334114026914,0.2357235944328367
2,8,0.0,0.6,Uniform,4.588951946875857,8.461658870001858E-4,0.7114264235800645
2,8,0.0,0.6,Symmetric,4.535828095490576,7.055127972924609E-4,0.6972222316823956
2,8,0.0,0.6,Asymmetric,4.951619075064849,8.041455328440177E-4,0.26053925429739044
2,8,0.0,0.9,Uniform,5.0,1.5849066737064397E-4,0.0
2,8,0.0,0.9,Symmetric,4.935780097178194,2.256879260777576E-4,0.2645961549318823
2,8,0.0,0.9,Asymmetric,5.0,1.311272650049928E-4,0.0
2,8,0.05,0.0,Uniform,4.037672174632701,0.02170080408872287,0.5088844914199009
2,8,0.05,0.0,Symmetric,3.8791107033887595,0.028160474174433316,0.8956873618299662
2,8,0.05,0.0,Asymmetric,5.0,0.09290850505180252,0.0
2,8,0.05,0.3,Uniform,3.8812859025126105,0.02421061681455585,0.6891112570999243
2,8,0.05,0.3,Symmetric,3.9965557585175753,0.024758265818134274,0.9232298456048792
2,8,0.05,0.3,Asymmetric,4.974922819602002,0.06963407498769512,0.10076087967487347
2,8,0.05,0.6,Uniform,4.7820286619141905,0.010170675833177748,0.6297136930871448
2,8,0.05,0.6,Symmetric,4.755305770860863,0.00963299638408788,0.5523463620247641
2,8,0.05,0.6,Asymmetric,4.984494122610171,0.01977335090689035,0.08350170522345123
2,8,0.05,0.9,Uniform,5.0,1.6333333333333605E-4,0.0
2,8,0.05,0.9,Symmetric,4.89693382987269,0.0019179528854968266,0.3453315741274948
2,8,0.05,0.9,Asymmetric,5.0,0.004347164956468002,0.0
2,8,0.1,0.0,Uniform,4.017072042366212,0.11669393885679959,0.5405057943562547
2,8,0.1,0.0,Symmetric,3.604600475413465,0.054021445695306244,1.109988771788286
2,8,0.1,0.0,Asymmetric,5.0,0.12665650632896877,0.0
2,8,0.1,0.3,Uniform,4.15248618721184,0.07113271299749253,0.5829540395530962
2,8,0.1,0.3,Symmetric,4.039914440013382,0.042432166512139796,1.1236164988797623
2,8,0.1,0.3,Asymmetric,4.99443665302396,0.11966143589160728,0.029959540345249096
2,8,0.1,0.6,Uniform,4.8773448184266615,0.03334980544072164,0.3598776245124965
2,8,0.1,0.6,Symmetric,4.850301098130791,0.015040804716128805,0.4805523534637002
2,8,0.1,0.6,Asymmetric,5.0,0.05245999418786687,0.0
2,8,0.1,0.9,Uniform,5.0,0.005811360987922371,0.0
2,8,0.1,0.9,Symmetric,4.956013125752378,3.6472995430155845E-4,0.16482049647259536
2,8,0.1,0.9,Asymmetric,5.0,0.007877697007915704,0.0
2,12,0.0,0.0,Uniform,4.058209357116146,0.0013154508418947249,0.25561021558035696
2,12,0.0,0.0,Symmetric,3.1591475841078482,0.0012948800213581863,0.6005682500876033
2,12,0.0,0.0,Asymmetric,4.923699697774307,0.0015449252448329225,0.35801112618526165
2,12,0.0,0.3,Uniform,4.07186187323985,0.0011945617149062,0.49853417717553933
2,12,0.0,0.3,Symmetric,3.4268789133057345,0.0010389994005823918,0.926255099306428
2,12,0.0,0.3,Asymmetric,5.0,0.0013659693376112795,0.0
2,12,0.0,0.6,Uniform,4.312837352874354,8.926879180577638E-4,0.883225167251373
2,12,0.0,0.6,Symmetric,4.308816101862287,7.899943268649195E-4,0.8410033306397419
2,12,0.0,0.6,Asymmetric,4.948484667293363,9.068106088298586E-4,0.19870209790533572
2,12,0.0,0.9,Uniform,5.0,2.763783691746749E-4,0.0
2,12,0.0,0.9,Symmetric,4.744847927499687,2.2145855310280767E-4,0.7767945246970736
2,12,0.0,0.9,Asymmetric,5.0,2.819710750827199E-4,0.0
2,12,0.05,0.0,Uniform,4.09466168427882,0.05133313757989579,0.32058619338091066
2,12,0.05,0.0,Symmetric,3.27699517873639,0.03327065861435907,0.7751041164040111
2,12,0.05,0.0,Asymmetric,4.999413837678363,0.10622354484054627,0.003156580705750916
2,12,0.05,0.3,Uniform,4.217128007932817,0.033790737130807595,0.4327323048621915
2,12,0.05,0.3,Symmetric,4.070130552355959,0.025378658546958192,1.021757958775395
2,12,0.05,0.3,Asymmetric,4.994918984751864,0.08219244608949652,0.027362104498775273
2,12,0.05,0.6,Uniform,4.530397212540754,0.01316005527935398,0.6554464273080066
2,12,0.05,0.6,Symmetric,4.442965471699294,0.007599778651954255,0.7938819565520674
2,12,0.05,0.6,Asymmetric,4.989950980976661,0.025224085306216778,0.05411562359070936
2,12,0.05,0.9,Uniform,4.929935484217437,3.949337217106777E-4,0.37730896462117464
2,12,0.05,0.9,Symmetric,4.909767052727132,0.002345226769237895,0.35664550970249714
2,12,0.05,0.9,Asymmetric,5.0,0.005368688654321235,0.0
2,12,0.1,0.0,Uniform,4.396636196039748,0.23394193192610477,0.5333684863032461
2,12,0.1,0.0,Symmetric,3.9493897990349387,0.08567558932770782,0.9566809719348771
2,12,0.1,0.0,Asymmetric,5.0,0.12048562586703035,0.0
2,12,0.1,0.3,Uniform,4.182134541159694,0.1082356258674393,0.646942611220263
2,12,0.1,0.3,Symmetric,4.311240480033725,0.06960235732495884,0.9816620403057397
2,12,0.1,0.3,Asymmetric,5.0,0.10185237810891631,0.0
2,12,0.1,0.6,Uniform,4.2142480072567094,0.039406153741044246,0.9513444468925182
2,12,0.1,0.6,Symmetric,4.6104801408345875,0.01837280864498695,0.7496566847840194
2,12,0.1,0.6,Asymmetric,4.99651326101574,0.07308500875755043,0.018776664069698235
2,12,0.1,0.9,Uniform,4.966363409530569,0.01318382124027745,0.18113858322797982
2,12,0.1,0.9,Symmetric,4.947018543283311,0.002770079390977393,0.15937265722968072
2,12,0.1,0.9,Asymmetric,5.0,0.01592392522223523,0.0
2,20,0.0,0.0,Uniform,4.089681791684068,0.0015482413774044715,0.1657525971331938
2,20,0.0,0.0,Symmetric,3.1048769312611215,0.0015750418126427286,0.742705014522945
2,20,0.0,0.0,Asymmetric,4.983736812915781,0.0017721407565101383,0.03783722099730453
2,20,0.0,0.3,Uniform,3.9740285328233256,0.0014149621632491393,0.3785752986712147
2,20,0.0,0.3,Symmetric,3.187082963760776,0.0012979547491421821,0.7881593015820052
2,20,0.0,0.3,Asymmetric,4.953668452374654,0.0016099809869751644,0.16401066834869715
2,20,0.0,0.6,Uniform,4.181153749267921,0.0010852572078794353,0.7714642521909998
2,20,0.0,0.6,Symmetric,3.949246625572181,7.609468398254816E-4,0.7643416150693759
2,20,0.0,0.6,Asymmetric,4.994028567914771,0.0010828437878023334,0.03215714591356382
2,20,0.0,0.9,Uniform,4.958340257618592,3.531607426906308E-4,0.22434457854664508
2,20,0.0,0.9,Symmetric,4.9165961941158125,3.5132676622526873E-4,0.3279863206570277
2,20,0.0,0.9,Asymmetric,5.0,3.571091362165956E-4,0.0
2,20,0.05,0.0,Uniform,4.188304799682758,0.11885109912847204,0.28852243983384807
2,20,0.05,0.0,Symmetric,3.3184582327775467,0.04539152902273388,0.84923595364861
2,20,0.05,0.0,Asymmetric,5.0,0.10030039715054036,0.0
2,20,0.05,0.3,Uniform,4.0904938063047,0.050356117555690784,0.3667018573212907
2,20,0.05,0.3,Symmetric,3.454663481662451,0.040850870578501196,1.0158882977097652
2,20,0.05,0.3,Asymmetric,4.949917903768568,0.09558125888465677,0.15865492365140318
2,20,0.05,0.6,Uniform,4.294177433199665,0.02466998867446679,0.7143403605414861
2,20,0.05,0.6,Symmetric,3.87691540728813,0.015876574784708043,1.0568692080468471
2,20,0.05,0.6,Asymmetric,4.899060938941971,0.04619942081792232,0.4389903393233266
2,20,0.05,0.9,Uniform,4.829581842070314,0.0030990781528653097,0.4497132474651214
2,20,0.05,0.9,Symmetric,4.811648617052355,0.008218457227417302,0.48937712890764007
2,20,0.05,0.9,Asymmetric,5.0,0.007754342508085801,0.0
2,20,0.1,0.0,Uniform,4.965459168476258,0.4690405015238108,0.13146758020681001
2,20,0.1,0.0,Symmetric,3.6675862878013024,0.11648267313085413,1.1153201580468075
2,20,0.1,0.0,Asymmetric,4.999916864284287,0.1367124739334659,4.47699530479191E-4
